u_brthyr,age_5,sc1714,ws1_2012,ws1_2032,ws1_2034,ws1_2036,ws1_2038,ws1cal01,ws1cal02,ws1cal03,ws1cal04,ws1imp04,ws2cal01,ws2cal02,ws2cal03,ws2cal04,ws2imp04,ws1_2024,vetstat,ws1_2028,ws1impo5,ws2impo5,ws1_wks4,ws1_wks3,ws1_wks2,ws1_wks1,fnlwgt_5,u_brthmn,rsncode,ws1_2026,agric1,trans1,trade1,finins1,service1,public1,profes1,manage1,cleric1,labor1,other1,educ,nrace,nmar,health,srvperd,nvstat,kwage,mhrs4,w4,mhrs3,w3,mhrs2,w2,mhrs1,w1,agesq,edsq,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1950,33,2,,,,,,,,,,,,,,,,,1,,,,,,,,31681348,1,1,,,,,,,,,,,,,12,0,0,0,1,1,,,,,,,,,,1089,144,1,0,0,0,0,0,0,0,0,0,0,0
1947,36,,,,,,,,,,,,,,,,,,1,,,,,,,,30904898,1,1,,,,,,,,,,,,,13,0,1,1,1,1,,,,,,,,,,1296,169,1,0,0,0,0,0,0,0,0,0,0,0
1946,37,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,12,0,0,0,,0,,,,,,,,,,1369,144,0,0,0,0,0,0,0,0,1,0,0,0
1953,30,2,,,,,,,,,,,,,,,,,1,,,,,,,,32194467,8,1,,,,,,,,,,,,,15,1,0,0,1,1,,,,,,,,,,900,225,0,0,0,0,0,0,0,1,0,0,0,0
1951,31,1,1,2152,2152,2152,2152,,,,,,,,,,,40,2,13.45,,,4,5,4,5,29357320,11,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,0,13.45,160,13.45,200,10.76,160,13.45,200,10.76,961,169,0,0,0,0,0,0,0,0,0,0,1,0
1954,29,1,4,1800,1800,2000,1800,,,,,,,,,,,50,1,8.8999996,,,4,5,4,5,28254481,9,999,1,0,0,0,0,0,1,0,0,0,0,1,13,0,1,0,0,0,8.8999996,200,9,250,7.1999998,200,10,250,7.1999998,841,169,0,0,0,0,0,0,0,0,1,0,0,0
1950,33,1,1,1510,1510,1430,1430,,,,,,,,,,,45,2,,,,4,5,4,5,29927245,4,0,2,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,,0,8.3888893,180,8.3888893,225,6.7111111,180,7.9444447,225,6.3555555,1089,256,0,0,0,1,0,0,0,0,0,0,0,0
1948,35,1,1,720,900,720,900,1,1,1,1,,,,,,,30,2,6,1,,4,5,4,5,64197139,2,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,,0,6,120,6,150,6,120,6,150,6,1225,144,0,1,0,0,0,0,0,0,0,0,0,0
1948,35,2,,,,,,,,,,,,,,,,,2,,,,,,,,63950606,5,0,,,,,,,,,,,,,15,0,0,0,,0,,,,,,,,,,1225,225,0,0,0,0,1,0,0,0,0,0,0,0
1949,34,1,1,,1109,,,,,,,,,,,,,40,1,6.5,,,,5,,,32819470,6,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,1,1,6.5,,,200,5.5450001,,,,,1156,144,0,0,0,0,0,1,0,0,0,0,0,0
1948,34,1,1,700,720,700,720,,,,,,,,,,,40,2,4.1500001,,,4,5,4,5,49585400,11,1,1,0,0,1,0,0,0,0,0,0,0,1,16,0,1,0,,0,4.1500001,160,4.375,200,3.5999999,160,4.375,200,3.5999999,1156,256,0,0,0,0,0,0,0,0,0,0,1,0
1951,32,1,4,1150,1150,1138,1138,,,,,,,,,,,40,1,,,,4,5,4,5,29927245,5,0,2,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0,0,7.1875,160,7.1875,200,5.75,160,7.1125002,200,5.6900001,1024,169,0,0,0,0,1,0,0,0,0,0,0,0
1953,30,1,1,1710,1710,855,,,,,,,,,,,,40,2,10.69,,,4,5,3,,29357320,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,0,10.69,160,10.6875,200,8.5500002,120,7.125,,,900,225,1,0,0,0,0,0,0,0,0,0,0,0
1950,32,1,1,2000,2500,2000,2500,,1,,1,,,,,,,80,1,,,,4,5,4,5,46057761,11,1,2,0,0,1,0,0,0,0,0,1,0,0,12,0,0,1,1,1,6.25,320,6.25,400,6.25,320,6.25,400,6.25,1024,144,0,0,0,0,0,0,0,0,0,0,1,0
1943,40,2,,,,,,,,,,,,,,,,,2,,,,,,,,39530456,1,999,,,,,,,,,,,,,10,0,1,1,,0,,,,,,,,,,1600,100,1,0,0,0,0,0,0,0,0,0,0,0
1954,28,1,1,1104,736,1104,736,,,,,,,,,,,40,2,4.5999999,,,4,5,4,5,78075792,12,999,1,0,1,0,0,0,0,0,0,0,0,0,12,0,1,1,,0,4.5999999,160,6.9000001,200,3.6800001,160,6.9000001,200,3.6800001,784,144,0,0,0,0,0,0,0,0,0,0,0,1
