byr,race,year,type,interval,nj,nj0,p_xl,p_l,earnings,iweight,iweight_old,nsrvd,ps_r,ern74,ern75,ern76,ern77,ern78,ern79,ern80,ern81,ern82,ern83,ern84
50,1,76,TAXAB,1,8606,1603.023988723755,.080074959,.030405074,9706.4941,.00023309569,.0001471436,,.3527,.65003645,.75841248,1,.78949249,.58999503,.61054808,.56437212,.6076566,.42430848,.45246211,.43354487
50,1,77,TAXAB,2,7359,1324.571992874146,.12329404,.035733461,10718.373,.00018972957,.00011497718,,.19329999,.51582122,.65620166,.78949249,1,.70132399,.64108855,.60169947,.63522047,.48998055,.50773853,.48187214
50,1,78,TAXAB,2,7348,1348.895992279053,.15930246,.049124334,11255.358,.00017443363,.00010406526,,.19329999,.42841455,.59256101,.58999503,.70132399,1,.7985844,.63555485,.6622538,.43382579,.48054323,.44016081
50,1,79,TAXAB,2,7339,1367.982006072998,.099795878,.031479053,12000.537,.00014529373,.000087886583,,.19329999,.4010658,.54410386,.61054808,.64108855,.7985844,1,.79469192,.69316614,.50655472,.5003463,.50212848
50,1,80,TAXAB,1,8551,1634.800996780396,.096045963,.024091411,11465.67,.00017117793,.00010553168,,.3527,.32306165,.51783752,.56437212,.60169947,.63555485,.79469192,1,.77924305,.78317189,.70071149,.65005469
50,1,81,TAXAB,1,8542,1702.507984161377,.08910501,.02325465,11664.158,.0001563728,.000096527932,,.3527,.427432,.56318611,.6076566,.63522047,.6622538,.69316614,.77924305,1,.67285788,.60611373,.67261249
50,1,82,TAXAB,1,8537,1896.089992523193,.093772992,.020409701,11812.535,.00014135776,.0000851718,,.3527,.29361221,.37173578,.42430848,.48998055,.43382579,.50655472,.78317189,.67285788,1,.79184896,.70100385
50,1,83,TAXAB,2,7310,1666.070983886719,.097215787,.020060141,12519.034,.00010312808,.000062399784,,.19329999,.37992987,.41993237,.45246211,.50773853,.48054323,.5003463,.70071149,.60611373,.79184896,1,.75216532
50,1,84,TAXAB,1,8508,2049.25899887085,.095780589,.022723004,12737.853,.00011501078,.000067816596,,.3527,.42099822,.45449075,.43354487,.48187214,.44016081,.50212848,.65005469,.67261249,.70100385,.75216532,1
50,2,74,TAXAB,1,2859,940.9169912338257,.030167621,.012547945,7431.7749,.000078115307,.000044886852,,.1957,1,.65772742,.6037693,.48681703,.4027887,.44458455,.39404806,.24782458,.25625879,.2683771,.40227145
50,2,75,TAXAB,2,2549,895.7800035476685,.037445713,.012659537,7764.561,.000065523316,.000035616067,,.1354,.65772742,1,.66484213,.51582891,.49007154,.46231559,.36643416,.25304061,.32384479,.25022817,.41074449
50,2,76,TAXAB,1,2848,985.7839889526367,.058607593,.017674642,8285.3672,.000062469931,.000034761757,,.1957,.6037693,.66484213,1,.59894657,.55653858,.47878242,.36528617,.27578124,.33665267,.24127354,.30120808
50,2,77,TAXAB,1,2846,953.1150054931641,.081353068,.024912765,9006.8076,.000059653383,.000032137781,,.1957,.48681703,.51582891,.59894657,1,.69756424,.57154453,.4201355,.43490937,.42830437,.42591441,.43759307
50,2,78,TAXAB,2,2534,849.0260076522827,.099631809,.025669832,9487.208,.000047346046,.000025628657,,.1354,.4027887,.49007154,.55653858,.69756424,1,.74701619,.57596636,.52446282,.49981731,.42470232,.50987732
50,2,79,TAXAB,2,2521,824.7239999771118,.063744932,.015202715,9900.3096,.00004204272,.000023425458,,.1354,.44458455,.46231559,.47878242,.57154453,.74701619,1,.78510541,.67567205,.5906679,.47547901,.55652863
50,2,80,TAXAB,1,2826,933.3579921722412,.070183903,.013203236,9838.8389,.000044779099,.000025494339,,.1957,.39404806,.36643416,.36528617,.4201355,.57596636,.78510541,1,.76397967,.56053507,.48810378,.53314513
50,2,81,TAXAB,1,2822,974.0649909973145,.077331722,.014625516,10214.22,.000041659463,.000022992956,,.1957,.24782458,.25304061,.27578124,.43490937,.52446282,.67567205,.76397967,1,.72734624,.559744,.58362216
50,2,82,TAXAB,1,2820,1002.071999549866,.07265579,.016993523,10224.167,.000039202554,.00002176686,,.1957,.25625879,.32384479,.33665267,.42830437,.49981731,.5906679,.56053507,.72734624,1,.69503772,.66792399
50,2,83,TAXAB,1,2815,1004.84000492096,.075193353,.012138153,10665.097,.000032939497,.000018943418,,.1957,.2683771,.25022817,.24127354,.42591441,.42470232,.47547901,.48810378,.559744,.69503772,1,.74833375
50,2,84,TAXAB,1,2810,1002.028001785278,.079785526,.012570991,10965.579,.00003129688,.000017963557,,.1957,.40227145,.41074449,.30120808,.43759307,.50987732,.55652863,.53314513,.58362216,.66792399,.74833375,1
50,1,78,TOTAL,2,7348,2030.01099395752,.00093287142,.22741453,17273.268,4.7416967e-07,4.7071012e-07,,.19329999,,,,,1,.17739844,.22828342,-.016237995,-.036998753,-.0014047313,-.041529182
50,1,79,TOTAL,2,7339,2162.703010559082,0,.13606407,16052.32,7.7380025e-07,7.6511520e-07,,.19329999,,,,,.17739844,1,.3482019,.13749391,.16507809,.15229364,.14578278
50,1,80,TOTAL,1,8551,2539.38599395752,.00014971022,.12592392,12214.918,.000015970229,.000014288348,,.3527,,,,,.22828342,.3482019,1,.27396861,.24086826,.17945275,.15851696
50,1,81,TOTAL,2,7327,2167.700012207031,.00040412458,.12134185,12778.465,.00006086221,.00003876858,,.19329999,,,,,-.016237995,.13749391,.27396861,1,.60062355,.48321813,.55331868
50,1,82,TOTAL,2,7318,2211.784004211426,.00080196373,.11741336,13138.038,.000051038252,.000033545926,,.19329999,,,,,-.036998753,.16507809,.24086826,.60062355,1,.71009171,.60158014
50,1,83,TOTAL,2,7310,2187.117012023926,.00020593872,.11476038,13977.479,.000024793142,.000019325895,,.19329999,,,,,-.0014047313,.15229364,.17945275,.48321813,.71009171,1,.8076638
50,1,84,TOTAL,1,8508,2587.346012115479,.00015606385,.11850616,14246.659,.000042993306,.000029687151,,.3527,,,,,-.041529182,.14578278,.15851696,.55331868,.60158014,.8076638,1
50,2,78,TOTAL,2,2534,999.0589904785156,0,.15372121,15631.907,3.0818217e-07,3.0233412e-07,,.1354,,,,,1,.43691456,.0075264163,.21229379,.28012875,.13846257,.14777884
50,2,79,TOTAL,1,2834,1120.826992034912,0,.096431591,16050.343,2.5368217e-07,2.4991181e-07,,.1957,,,,,.43691456,1,.34186155,.24641903,.15348995,.14706326,.0015291475
50,2,80,TOTAL,1,2826,1129.243995666504,0,.084296741,10623.337,5.9606355e-06,5.1454867e-06,,.1957,,,,,.0075264163,.34186155,1,.41408074,.21909273,.070876673,.098819166
50,2,81,TOTAL,2,2511,979.8500003814697,0,.082936354,10216.473,.000023342714,.000014400742,,.1354,,,,,.21229379,.24641903,.41408074,1,.73523057,.46538013,.34163693
50,2,82,TOTAL,2,2507,1027.989006042481,0,.077696517,10906.718,.00001814797,.00001135298,,.1354,,,,,.28012875,.15348995,.21909273,.73523057,1,.60142028,.51543003
50,2,83,TOTAL,1,2815,1129.070009231567,0,.08429116,11749.973,.000011751929,8.4790345e-06,,.1957,,,,,.13846257,.14706326,.070876673,.46538013,.60142028,1,.79403234
50,2,84,TOTAL,1,2810,1096.912998199463,0,.087095983,12091.677,.000010087801,7.5502389e-06,,.1957,,,,,.14777884,.0015291475,.098819166,.34163693,.51543003,.79403234,1
50,1,74,ADJ,2,7390,1228.629999160767,.048489377,.020301815,9227.3525,.00019927174,.00013840759,,.19329999,1,.77135831,.69483513,.5680154,.47650367,.40712124,.34270778,.472947,.35488653,.38729551,.40879324
50,1,75,ADJ,2,7381,1379.347003936768,.071227379,.023943905,9484.2422,.00015450786,.00010999711,,.19329999,.77135831,1,.80331779,.71135074,.64306563,.53959018,.53392202,.57763851,.40669954,.39848506,.40810561
50,1,76,ADJ,2,7369,1372.093997955322,.09510538,.030126536,10529.108,.00013575879,.000095126728,,.19329999,.69483513,.80331779,1,.81918144,.64981115,.61018765,.57566899,.61715877,.43717015,.44455999,.42339289
50,1,77,ADJ,2,7359,1324.571992874146,.12329404,.035733461,11256.787,.0001292896,.000089595364,,.19329999,.5680154,.71135074,.81918144,1,.73078823,.66164881,.64452153,.68931752,.55216336,.56685126,.48847538
50,1,78,ADJ,2,7348,1348.895992279053,.15930246,.049124334,12025.425,.00010741544,.000075837066,,.19329999,.47650367,.64306563,.64981115,.73078823,1,.8108601,.69024533,.70468205,.48916522,.50355726,.42948821
50,1,79,ADJ,2,7339,1367.982006072998,.099795878,.031479053,12529.191,.0001039932,.000070863156,,.19329999,.40712124,.53959018,.61018765,.66164881,.8108601,1,.81615031,.73510188,.55731541,.53378898,.48561585
50,1,80,ADJ,1,8551,1634.800996780396,.096045963,.024091411,11940.74,.00012335439,.000085173961,,.3527,.34270778,.53392202,.57566899,.64452153,.69024533,.81615031,1,.81148255,.78974766,.7015174,.6241101
50,1,81,ADJ,1,8542,1702.507984161377,.08910501,.02325465,12118.178,.00010841156,.000075821736,,.3527,.472947,.57763851,.61715877,.68931752,.70468205,.73510188,.81148255,1,.72864467,.63436896,.66685414
50,1,82,ADJ,1,8537,1896.089992523193,.093772992,.020409701,12505.357,.0000832121,.000059936912,,.3527,.35488653,.40669954,.43717015,.55216336,.48916522,.55731541,.78974766,.72864467,1,.80891335,.71032542
50,1,83,ADJ,2,7310,1666.070983886719,.097215787,.020060141,13207.372,.000066178509,.00004664253,,.19329999,.38729551,.39848506,.44455999,.56685126,.50355726,.53378898,.7015174,.63436896,.80891335,1,.79067647
50,1,84,ADJ,2,7303,1739.588001251221,.10968664,.019459821,13806.922,.000057617119,.000040586423,,.19329999,.40879324,.40810561,.42339289,.48847538,.42948821,.48561585,.6241101,.66685414,.71032542,.79067647,1
51,1,74,ADJ,69,243,32.07600021362305,.018433182,.0057603684,7811.1924,9.3241688e-06,6.9049524e-06,1348,.055020407,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,8,221,28.06700134277344,0,.036655214,8043.3428,9.0729009e-06,6.5443019e-06,4931,.22312216,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,9,269,32.01100158691406,.021566402,.012485811,7461.5151,.000010765346,8.3124696e-06,5094,.18866667,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,4,272,29.10400009155273,.020156775,.012318027,7804.1934,.0000109444,8.4937983e-06,5463,.20084558,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,64,213,34.07999801635742,.010714285,.011904762,8627.9785,7.1476497e-06,4.8563306e-06,1204,.056261681,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,12,197,22.06400108337402,.040540539,.022522528,8593.8574,6.1067453e-06,4.7724316e-06,4412,.22282828,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,10,225,27,.045454547,.014772728,8497.1768,6.5630929e-06,5.1399907e-06,5127,.22585903,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,48,226,23.95599937438965,.014541387,0,7875.188,9.3689005e-06,7.2011212e-06,1590,.070044056,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,32,246,30.99600028991699,.042334098,.013729976,8485.042,7.8127941e-06,5.9251606e-06,2110,.085772358,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,54,215,32.89500045776367,.03305785,.016528925,8489.8604,5.4994157e-06,4.1527069e-06,1417,.065601856,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,72,234,37.90800094604492,.031026253,.0095465407,8766.2295,7.4582799e-06,5.1007164e-06,1366,.05837607,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,67,197,34.08099746704102,.024183795,.0060459515,8528.0518,5.8430237e-06,4.0503205e-06,1336,.067817256,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,41,218,35.09799957275391,.048867702,.016686527,8345.1172,6.2685690e-06,4.5783900e-06,1504,.068675801,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,5,233,30.05699920654297,.044776119,.0045924233,8505.0596,7.7595050e-06,5.7727611e-06,4778,.20331915,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,36,206,31.93000030517578,.01775148,.0047337273,8038.3408,7.4564241e-06,5.2413593e-06,1598,.077198066,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,7,240,24,.023333333,.0044444446,7709.2358,8.3020832e-06,6.7840410e-06,5170,.21363637,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,43,228,26.90399932861328,.020408161,.01473923,7731.8613,7.5626931e-06,5.9994518e-06,1286,.056157205,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,58,232,32.94400024414063,.039627042,.0058275051,8323.2822,7.8818175e-06,5.7237230e-06,1556,.06565401,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,55,224,32.03200149536133,.010501749,.021003503,8432.8584,7.6829519e-06,5.4738989e-06,1478,.065110132,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,30,219,33.94499969482422,.0059171598,.037869822,8778.917,6.7706906e-06,4.7180247e-06,2273,.10378996,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,6,239,34.89400100708008,.019906323,.0046838401,7567.9805,8.6383025e-06,6.4100477e-06,5138,.21057378,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,47,243,34.99199676513672,.024532711,.0046728975,8174.8574,9.4320048e-06,6.6072380e-06,1396,.056979593,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,49,219,31.9739990234375,.026932085,.031615924,8352.5732,6.2717295e-06,4.7009503e-06,1460,.066063352,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
